timestamp,symbol,exchange,type,side,price,size,sequence
1737400000000000000,BTCUSDT,binance,snapshot,bid,50000.00,5.0,1
1737400000000000000,BTCUSDT,binance,snapshot,ask,50000.50,4.0,2
1737400000100000000,BTCUSDT,binance,book_update,bid,50000.00,6.0,3
1737400000100000000,BTCUSDT,binance,book_update,bid,50000.00,6.0,3
1737400000200000000,BTCUSDT,binance,trade,bid,50000.00,0.5,5
1737400000150000000,BTCUSDT,binance,trade,ask,50000.50,0.3,6
1737400005200000000,BTCUSDT,binance,book_update,ask,50000.50,3.5,7
1737400005300000000,BTCUSDT,binance,trade,bid,50000.00,1.0,8
1737400005300000000,BTCUSDT,binance,trade,bid,50000.00,1.0,8
1737400005400000000,BTCUSDT,binance,book_update,bid,49999.50,2.0,9
